time,logger,level,database,message,exception
2013-05-27 10:26:46.3724,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (DetectFaceInfos/98),
2013-05-27 10:26:46.3724,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on DetectFaceInfos/98 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: detectfaceinfos/98
	Tag I-: DetectFaceInfos
	LastModified I-: 2013-05-27T02:26:46.3724968Z
",
2013-05-27 10:26:46.3724,Raven.Database.Server.HttpServer,Debug,,"	PUT DetectFaceInfos/98
",
2013-05-27 10:26:46.4044,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-27 10:26:46.4044,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000007 for Raven/DocumentsByEntityName",
2013-05-27 10:26:46.4044,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 14 because: WORK BY IndexingExecuter,
2013-05-27 10:26:46.4064,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 14, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:46.4064,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 14, for: IndexingExecuter, will wait for additional work",
2013-05-27 10:26:48.0975,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Hilo/TrackingTimes' was not found,
2013-05-27 10:26:48.0975,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/ServerPrefixForHilo' was not found,
2013-05-27 10:26:48.0975,Raven.Database.Server.HttpServer,Debug,,Request #  13: GET     -     1 ms - <system>   - 200 - /queries/?&id=Raven/Hilo/TrackingTimes&id=Raven/ServerPrefixForHilo,
2013-05-27 10:26:48.3226,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Hilo/TrackingTimes', update: False, ",
2013-05-27 10:26:48.3226,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 15 because: PUT Raven/Hilo/TrackingTimes,
2013-05-27 10:26:48.3226,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Hilo/TrackingTimes with etag 00000001-0000-0400-0000-000000000008,
2013-05-27 10:26:48.3226,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0400-0000-000000000007: (Raven/Hilo/TrackingTimes),
2013-05-27 10:26:48.3226,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 15, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:48.3226,Raven.Database.Impl.DocumentRetriever,Debug,,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/TrackingTimes,
2013-05-27 10:26:48.3226,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-05-27 10:26:48.3226,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0400-0000-000000000007: (Raven/Hilo/TrackingTimes)",
2013-05-27 10:26:48.3226,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Hilo/TrackingTimes),
2013-05-27 10:26:48.3226,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-05-27 10:26:48.3226,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0400-0000-000000000008 for Raven/DocumentsByEntityName",
2013-05-27 10:26:48.3256,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 16 because: WORK BY IndexingExecuter,
2013-05-27 10:26:48.3256,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 16, for: ReducingExecuter, will wait for additional work",
2013-05-27 10:26:48.3256,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 16, for: IndexingExecuter, will wait for additional work",
